NCBITaxon:10140	Cavia	http://aims.fao.org/aos/agrovoc/c_3426	Guinea pigs	organisms	
NCBITaxon:101469	Prostephanus	http://aims.fao.org/aos/agrovoc/c_6237	Prostephanus	organisms	
NCBITaxon:10147	Hydrochaeridae	http://aims.fao.org/aos/agrovoc/c_331509	Hydrochaeridae	organisms	
NCBITaxon:101470	Prostephanus truncatus	http://aims.fao.org/aos/agrovoc/c_30002	Prostephanus truncatus	organisms	
NCBITaxon:101483	Monographella nivalis	http://aims.fao.org/aos/agrovoc/c_27235	Monographella nivalis	organisms	
NCBITaxon:10149	Hydrochoerus hydrochaeris	http://aims.fao.org/aos/agrovoc/c_331511	Hydrochoerus hydrochaeris	organisms	
NCBITaxon:101495	Gobionotothen acuta	http://aims.fao.org/aos/agrovoc/c_44083	Notothenia acuta	organisms	
NCBITaxon:101496	Lepidonotothen squamifrons	http://aims.fao.org/aos/agrovoc/c_44080	Notothenia squamifrons	organisms	
NCBITaxon:101497	Notothenia rossii	http://aims.fao.org/aos/agrovoc/c_44077	Notothenia rossii	organisms	
NCBITaxon:10150	Chinchillidae	http://aims.fao.org/aos/agrovoc/c_1557	Chinchillas	organisms	
NCBITaxon:101500	Aethotaxis mitopteryx	http://aims.fao.org/aos/agrovoc/c_44069	Aethotaxis mitopteryx	organisms	
NCBITaxon:101504	Pleuragramma antarctica	http://aims.fao.org/aos/agrovoc/c_44114	Pleuragramma antarcticum	organisms	
NCBITaxon:101512	Schilbe intermedius	http://aims.fao.org/aos/agrovoc/c_40878	Schilbe intermedius	organisms	
NCBITaxon:10154	Lagostomus maximus	http://aims.fao.org/aos/agrovoc/c_25022	Lagostomus maximus	organisms	
NCBITaxon:10156	Myocastor	http://aims.fao.org/aos/agrovoc/c_1941	Coypus	organisms	
NCBITaxon:10157	Myocastor coypus	http://aims.fao.org/aos/agrovoc/c_1941	Coypus	organisms	
NCBITaxon:101596	Dahlia pinnata	http://aims.fao.org/aos/agrovoc/c_731e9ffa	Dahlia pinnata	organisms	
NCBITaxon:10168	Thryonomys	http://aims.fao.org/aos/agrovoc/c_33900	Thryonomys	organisms	
NCBITaxon:10169	Thryonomys swinderianus	http://aims.fao.org/aos/agrovoc/c_32340	Thryonomys swinderianus	organisms	
NCBITaxon:1016941	Oxynotus centrina	http://aims.fao.org/aos/agrovoc/c_38448	Oxynotus centrina	organisms	
NCBITaxon:101736	Incurvaria	http://aims.fao.org/aos/agrovoc/c_32164	Incurvaria	organisms	
NCBITaxon:101767	Acipenser baerii baerii	http://aims.fao.org/aos/agrovoc/c_37765	Acipenser baerii	organisms	
NCBITaxon:101768	Acipenser stellatus stellatus	http://aims.fao.org/aos/agrovoc/c_38969	Acipenser stellatus	organisms	
NCBITaxon:101840	Petroleuciscus borysthenicus	http://aims.fao.org/aos/agrovoc/c_40126	Leuciscus borysthenicus	organisms	
NCBITaxon:101849	Lobodon carcinophaga	http://aims.fao.org/aos/agrovoc/c_48912	Lobodon carcinophagus	organisms	
NCBITaxon:101853	Pezicula	http://aims.fao.org/aos/agrovoc/c_26609	Pezicula	organisms	
NCBITaxon:101867	Barbus cyclolepis	http://aims.fao.org/aos/agrovoc/c_49551	Barbus cyclolepis	organisms	
NCBITaxon:101889	Pelasgus stymphalicus	http://aims.fao.org/aos/agrovoc/c_40467	Pseudophoxinus stymphalicus	organisms	
NCBITaxon:101898	Vimba	http://aims.fao.org/aos/agrovoc/c_40299	Vimba vimba	organisms	
NCBITaxon:101899	Vimba melanops	http://aims.fao.org/aos/agrovoc/c_49552	Vimba melanops	organisms	
NCBITaxon:10190	Rotifera	http://aims.fao.org/aos/agrovoc/c_6666	Rotifera	organisms	
NCBITaxon:101905	Barbus cyclolepis cyclolepis	http://aims.fao.org/aos/agrovoc/c_49551	Barbus cyclolepis	organisms	
