BFO:0000003	occurrent	PATO:0000057	occurrence
ENVO:00000033	pond	http://aims.fao.org/aos/agrovoc/c_6105	ponds
ENVO:00000034	rapids	http://aims.fao.org/aos/agrovoc/c_16402	cataract
ENVO:00000035	marsh	http://aims.fao.org/aos/agrovoc/c_4631	marshes
ENVO:00000036	irrigation canal	http://aims.fao.org/aos/agrovoc/c_25340	irrigation canals
ENVO:00000038	lagoon	http://aims.fao.org/aos/agrovoc/c_4158	lagoons
ENVO:00000039	fjord	http://aims.fao.org/aos/agrovoc/c_16182	fiords
ENVO:00000040	waterfall	http://aims.fao.org/aos/agrovoc/c_8330	waterfalls
ENVO:00000042	drainage canal	http://aims.fao.org/aos/agrovoc/c_25339	drainage canals
ENVO:00000043	wetland	http://aims.fao.org/aos/agrovoc/c_28152	slash
ENVO:00000044	peatland	http://aims.fao.org/aos/agrovoc/c_13929	peatlands
ENVO:00000045	estuary	http://aims.fao.org/aos/agrovoc/c_2673	estuaries
ENVO:00000046	hedge	http://aims.fao.org/aos/agrovoc/c_3529	hedges
ENVO:00000047	canopy	http://aims.fao.org/aos/agrovoc/c_1262	canopy
ENVO:00000048	navigation canal	http://aims.fao.org/aos/agrovoc/c_1237	navigable canals
ENVO:00000054	saline marsh	http://aims.fao.org/aos/agrovoc/c_14061	salting
ENVO:00000056	fishpond	http://aims.fao.org/aos/agrovoc/c_2929	fish ponds
ENVO:00000057	mangrove swamp	http://aims.fao.org/aos/agrovoc/c_4577	mangrove swamps
ENVO:00000063	water body	http://aims.fao.org/aos/agrovoc/c_4768	body water
ENVO:00000064	road	http://aims.fao.org/aos/agrovoc/c_6621	roads
ENVO:00000065	railway	http://aims.fao.org/aos/agrovoc/c_34088	railways
ENVO:00000067	cave	http://aims.fao.org/aos/agrovoc/c_1397	caves
ENVO:00000073	building	http://aims.fao.org/aos/agrovoc/c_1142	buildings
ENVO:00000074	dam	http://aims.fao.org/aos/agrovoc/c_2121	dams
ENVO:00000076	mine	http://aims.fao.org/aos/agrovoc/c_49983	mining
ENVO:00000077	agricultural feature	http://aims.fao.org/aos/agrovoc/c_2808	farmland
ENVO:00000078	farm	http://aims.fao.org/aos/agrovoc/c_2804	farm structure
ENVO:00000080	mountain range	http://aims.fao.org/aos/agrovoc/c_330997	mountain ranges
ENVO:00000083	hill	http://aims.fao.org/aos/agrovoc/c_3614	highlands
ENVO:00000086	plain	http://aims.fao.org/aos/agrovoc/c_3366	grasslands
ENVO:00000090	coastal plain	http://aims.fao.org/aos/agrovoc/c_1698	coastal plains
ENVO:00000091	beach	http://aims.fao.org/aos/agrovoc/c_850	beaches
ENVO:00000097	desert	http://aims.fao.org/aos/agrovoc/c_2205	deserts
ENVO:00000098	island	http://aims.fao.org/aos/agrovoc/c_3962	islands
ENVO:00000100	valley	http://aims.fao.org/aos/agrovoc/c_8149	valleys
ENVO:00000101	delta	http://aims.fao.org/aos/agrovoc/c_2170	deltas
ENVO:00000104	undersea feature	http://aims.fao.org/aos/agrovoc/c_32599	spurs
ENVO:00000106	grassland	http://aims.fao.org/aos/agrovoc/c_10447	down
ENVO:00000108	meadow	http://aims.fao.org/aos/agrovoc/c_12447	meadows
ENVO:00000109	woodland	http://aims.fao.org/aos/agrovoc/c_28143	scrub
ENVO:00000109	woodland	http://aims.fao.org/aos/agrovoc/c_34911	stand structure
ENVO:00000111	forest	http://aims.fao.org/aos/agrovoc/c_10984	forestation
ENVO:00000111	forest	http://aims.fao.org/aos/agrovoc/c_3054	foresters
ENVO:00000111	forest	http://aims.fao.org/aos/agrovoc/c_3062	forests
ENVO:00000112	tundra	http://aims.fao.org/aos/agrovoc/c_8004	tundra
ENVO:00000114	agricultural field	UBERON:0007688	anlage
ENVO:00000114	agricultural field	http://aims.fao.org/aos/agrovoc/c_2808	farmland
ENVO:00000115	orchard	http://aims.fao.org/aos/agrovoc/c_2808	farmland
ENVO:00000116	vineyard	http://aims.fao.org/aos/agrovoc/c_15203	vineyards
ENVO:00000117	plantation	http://aims.fao.org/aos/agrovoc/c_2808	farmland
ENVO:00000119	planted forest	http://aims.fao.org/aos/agrovoc/c_3048	forest plantations
ENVO:00000122	track	http://aims.fao.org/aos/agrovoc/c_7845	tracks
ENVO:00000130	reef	http://aims.fao.org/aos/agrovoc/c_92343	reefs
ENVO:00000131	glacial feature	http://aims.fao.org/aos/agrovoc/c_3782	ice
ENVO:00000136	demilitiarized zone	http://aims.fao.org/aos/agrovoc/c_15686	boundaries
ENVO:00000139	irrigation ditch	http://aims.fao.org/aos/agrovoc/c_25332	irrigation systems
ENVO:00000141	bank	http://aims.fao.org/aos/agrovoc/c_812	banks
ENVO:00000141	bank	http://aims.fao.org/aos/agrovoc/c_9077	banking
ENVO:00000143	river bank	http://aims.fao.org/aos/agrovoc/c_25303	riverbanks
ENVO:00000147	ocean current	http://aims.fao.org/aos/agrovoc/c_8316	water currents
ENVO:00000149	artificial reef	http://aims.fao.org/aos/agrovoc/c_25395	artificial reefs
ENVO:00000150	coral reef	http://aims.fao.org/aos/agrovoc/c_1880	coral reefs
ENVO:00000166	atoll	http://aims.fao.org/aos/agrovoc/c_695	atolls
ENVO:00000168	blowhole	UBERON:0005928	external naris
ENVO:00000170	dune	http://aims.fao.org/aos/agrovoc/c_2410	dunes
ENVO:00000174	isthmus	UBERON:0003052	midbrain-hindbrain boundary
ENVO:00000175	karst	http://aims.fao.org/aos/agrovoc/c_33509	karst
ENVO:00000176	elevation	PATO:0001687	elevation
ENVO:00000178	levee	http://aims.fao.org/aos/agrovoc/c_32438	embankments
ENVO:00000191	physiographic feature	http://aims.fao.org/aos/agrovoc/c_5834	physiographic features
ENVO:00000222	oceanic island	http://aims.fao.org/aos/agrovoc/c_3261	Kiribati
ENVO:00000223	continental shelf	http://aims.fao.org/aos/agrovoc/c_32413	continental shelves
ENVO:00000231	moor	http://aims.fao.org/aos/agrovoc/c_4931	moors
ENVO:00000233	swamp	http://aims.fao.org/aos/agrovoc/c_7544	swamps
ENVO:00000234	bayou	http://aims.fao.org/aos/agrovoc/c_779	Bahia
ENVO:00000241	tidal mudflat	PATO:0000407	flat
ENVO:00000247	volcano	http://aims.fao.org/aos/agrovoc/c_15240	volcanoes
ENVO:00000255	flood plain	http://aims.fao.org/aos/agrovoc/c_2977	floodplains
ENVO:00000260	prairie	http://aims.fao.org/aos/agrovoc/c_8182	veld
ENVO:00000261	savanna	http://aims.fao.org/aos/agrovoc/c_6825	savannas
ENVO:00000262	steppe	http://aims.fao.org/aos/agrovoc/c_5522	pampas
ENVO:00000264	seamount	http://aims.fao.org/aos/agrovoc/c_12676	mountains
